ID,dataset,shuffle,init_cls,increment,model_name,convnet_type,device,seed,batch_size,tuned_epoch,body_lr,head_lr,weight_decay,min_lr,use_RP,M,use_input_norm
0,cub,TRUE,200,200,joint_linear,pretrained_vit_b16_224,0,1993,128,30,0,0.01,0.0005,0,FALSE,-1,FALSE
1,cub,TRUE,200,200,joint_full,pretrained_vit_b16_224,0,1993,128,30,0.0001,0.01,0.0005,0,FALSE,-1,FALSE
2,cub,TRUE,20,20,ncm,pretrained_vit_b16_224,0,1993,128,0,0,0,0.0005,0,FALSE,-1,FALSE
3,cub,TRUE,20,20,ncm,pretrained_vit_b16_224,0,1993,128,0,0,0,0.0005,0,TRUE,0,FALSE
4,cub,TRUE,20,20,ncm,pretrained_vit_b16_224,0,1993,128,0,0,0,0.0005,0,TRUE,10000,FALSE
5,cub,TRUE,20,20,adapter,pretrained_vit_b16_224_adapter,0,1993,48,20,0.01,0.01,0.0005,0,FALSE,-1,FALSE
6,cub,TRUE,20,20,adapter,pretrained_vit_b16_224_adapter,0,1993,48,20,0.01,0.01,0.0005,0,TRUE,0,FALSE
7,cub,TRUE,20,20,adapter,pretrained_vit_b16_224_adapter,0,1993,48,20,0.01,0.01,0.0005,0,TRUE,10000,FALSE
8,cub,TRUE,20,20,ncm,pretrained_resnet50,0,1993,128,0,0,0,0.0005,0,FALSE,-1,TRUE
9,cub,TRUE,20,20,ncm,pretrained_resnet50,0,1993,128,0,0,0,0.0005,0,TRUE,0,TRUE
10,cub,TRUE,20,20,ncm,pretrained_resnet50,0,1993,128,0,0,0,0.0005,0,TRUE,10000,TRUE
11,cub,TRUE,20,20,ncm,pretrained_resnet152,0,1993,128,0,0,0,0.0005,0,FALSE,-1,TRUE
12,cub,TRUE,20,20,ncm,pretrained_resnet152,0,1993,128,0,0,0,0.0005,0,TRUE,0,TRUE
13,cub,TRUE,20,20,ncm,pretrained_resnet152,0,1993,128,0,0,0,0.0005,0,TRUE,10000,TRUE
14,cub,TRUE,20,20,ncm,vit_base_patch32_224_clip_laion2b,0,1993,128,0,0,0,0.0005,0,FALSE,-1,TRUE
15,cub,TRUE,20,20,ncm,vit_base_patch32_224_clip_laion2b,0,1993,128,0,0,0,0.0005,0,TRUE,0,TRUE
16,cub,TRUE,20,20,ncm,vit_base_patch32_224_clip_laion2b,0,1993,128,0,0,0,0.0005,0,TRUE,10000,TRUE
17,cub,TRUE,20,20,lora,pretrained_vit_b16_224_lora,0,1993,48,20,0.01,0.01,0.0005,0,TRUE,10000,FALSE
